surv	day	mo	yr	season	trans	cap	Group	Fun_group	Genus	Species	swab	Zoospore_load_NEW	Zoospore_load	Second_load	TC	R	sex	Tb	Ts	SVL	mass	act	ht	dist	subst	mtr	bk	time	AM_PM	Num
3	13	7	2011	wet	LoopStream	6	Frog	NA	Espadarana	prosoblepon	EC_57	0	NA	NA	120	R	m	18.8	19.1	NA	NA	NA	150	0	lf	95	l	2100	PM	1
3	13	7	2011	wet	LoopStream	7	Frog	NA	Espadarana	prosoblepon	EC_58	0	NA	NA	132	NA	f	NA	NA	NA	NA	NA	150	0	lf	95	l	2100	PM	1
3	13	7	2011	wet	LoopStream	8	Frog	NA	Espadarana	prosoblepon	EC_59	0	NA	NA	133	NA	m	19	19	24.65	0.8	NA	75	0	lf	105	l	2115	PM	1
3	13	7	2011	wet	LoopStream	9	Frog	NA	Espadarana	prosoblepon	EC_60	0	NA	NA	134	NA	f	NA	NA	24.68	1	NA	200	0	aroid_lf	105	r	2120	PM	1
3	13	7	2011	wet	LoopStream	10	Frog	NA	Espadarana	prosoblepon	EC_61	0	NA	NA	135	NA	m	18.6	18.6	25.86	0.95	NA	175	0	lf	128	l	2132	PM	1
6	14	7	2011	wet	LoopStream	1	Frog	NA	Espadarana	prosoblepon	NA	NA	NA	NA	NA	NA	m	NA	NA	NA	NA	call	NA	NA	NA	10	l	NA	PM	1
6	14	7	2011	wet	LoopStream	3	Frog	NA	Espadarana	prosoblepon	EC_68	0.733070672	NA	NA	140	NA	f	20.9	21	25.8	1.2	NA	30	0	lf	43	r	2031	PM	1
6	14	7	2011	wet	LoopStream	4	Frog	NA	Espadarana	prosoblepon	NA	NA	NA	NA	NA	NA	m	NA	NA	NA	NA	call	NA	300	lf	60	c	NA	PM	1
6	14	7	2011	wet	LoopStream	8	Frog	NA	Espadarana	prosoblepon	NA	NA	NA	NA	NA	NA	m	NA	NA	NA	NA	call	NA	NA	NA	110	r	2055	PM	1
6	14	7	2011	wet	LoopStream	9	Frog	NA	Espadarana	prosoblepon	EC_69	0	NA	NA	130	R	m	21.7	21.8	25.1	0.7	NA	180	0	lf	130	l	2108	PM	1
6	14	7	2011	wet	LoopStream	10	Frog	NA	Espadarana	prosoblepon	EC_70	0	NA	NA	141	NA	m	21.7	21.7	26.6	0.9	NA	100	0	lf	140	r	2116	PM	1
6	14	7	2011	wet	LoopStream	12	Frog	NA	Espadarana	prosoblepon	EC_71	0.3286786	NA	NA	142	NA	m	21	21	25.2	0.9	NA	175	0	lf	170	c	2130	PM	1
6	14	7	2011	wet	LoopStream	13	Frog	NA	Espadarana	prosoblepon	EC_72	0	NA	NA	143	NA	f	21.3	21.4	29.55	0.9	NA	125	50	lf	180	l	2140	PM	1
6	14	7	2011	wet	LoopStream	15	Frog	NA	Espadarana	prosoblepon	EC_73	0	NA	NA	144	NA	m	21.6	21.7	27.85	0.85	NA	100	20	lf	190	l	2153	PM	1
10	15	7	2011	wet	LoopStream	2	Frog	NA	Espadarana	prosoblepon	EC_77	0	NA	NA	145	NA	m	18	18	25.03	1	NA	180	0	lf	55	l	2008	PM	1
10	15	7	2011	wet	LoopStream	3	Frog	NA	Espadarana	prosoblepon	EC_78	0	NA	NA	113	R	m	NA	NA	NA	NA	NA	180	0	lf	55	l	2008	PM	1
10	15	7	2011	wet	LoopStream	4	Frog	NA	Espadarana	prosoblepon	EC_79	0	NA	NA	150	NA	m	20	20.1	23.4	0.85	NA	75	0	fern_lf	70	l	2026	PM	1
10	15	7	2011	wet	LoopStream	5	Frog	NA	Espadarana	prosoblepon	EC_80	0	NA	NA	21?_121?	R	f?	20.3	20.4	26.5	0.9	NA	75	0	lf	85	lc	2036	PM	1
13	16	7	2011	wet	Silenciosa	1	Frog	NA	Espadarana	prosoblepon	EC_91	0	NA	NA	200	NA	m	21.7	21.8	23.42	0.9	call	60	10	lf	125	l	2158	PM	1
19	18	7	2011	wet	Guabal	15	Frog	NA	Espadarana	prosoblepon	NA	NA	NA	NA	155	R	m	22.5	22.6	NA	NA	NA	170	20	lf	170	r	2110	PM	1
35	19	6	2012	wet	Guabal	4	Frog	stream	Centrolene	sp.	EC_386	80.04580498	80.04580498	NA	NA	NA	hatchling	NA	NA	10.6	NA	NA	60	0	mossy_boulder	208	R	1039	AM	1
72	11	7	2012	wet	Cascada	7	Frog	stream	Centrolene	sp.	EC_654	0.58675833	0.58675833		NA	NA	NA	21.1	21.2	12.6	0.1	NA	60	0.7	leaf	29	R	1932	PM	1
72	22	3	2014	dry	Guabal	4	Frog	stream	Centrolene	sp.	NA	NA	NA	NA	NA	NA	juv	NA	NA	NA	NA	NA	0.1	1	cobble	288	L	919	AM	1
58	4	7	2012	wet	LoopTrail	2	Frog	both	Chaunus	marinus	EC_522	0	0		NA	NA	NA	NA	NA	NA	NA	NA	0	NA	leaf_litter	187	L	1117	AM	1
78	13	7	2012	wet	LoopTrail	8	Frog	both	Chaunus	marinus	EC_674	0	0	0	NA	NA	NA	20.6	20.7	135.6	NA	NA	0	NA	leaf_litter	85	L	2017	PM	1
100	24	7	2012	wet	LoopTrail	9	Frog	both	Chaunus	marinus	EC_804	0	0		NA	NA	NA	NA	NA	138.3	NA	NA	0	NA	ground	166	C	2025	PM	1
